Country name,Cost of living 
Afghanistan,26.33
Albania,40.25
Algeria,28.31
Argentina,37.87
Armenia,31.68
Australia,84.14
Austria,75.49
Azerbaijan,30.9
Bahamas,85.85
Bahrain,57.7
Bangladesh,33.31
Barbados,81.49
Belarus,30.69
Belgium,78.52
Belize,52.45
Bermuda,145.07
Bolivia,36.11
Bosnia And Herzegovina,38.56
Botswana,40.41
Brazil,31.82
Brunei,49.35
Bulgaria,40.92
Cambodia,47.91
Cameroon,42.57
Canada,70.08
Chile,49.33
China,42.54
Colombia,31
Costa Rica,50.64
Croatia,56.36
Cuba,55.54
Cyprus,64.05
Czech Republic,49.18
Denmark,91.67
Dominican Republic,41.54
Ecuador,40.08
Egypt,30.1
El Salvador,44.57
Estonia,56.45
Ethiopia,54.3
Fiji,48.54
Finland,77.46
France,80.62
Georgia,28.05
Germany,70.62
Ghana,40.63
Greece,60.96
Guatemala,44.76
Honduras,42.2
Hong Kong,79.94
Hungary,42.75
Iceland,96.77
India,25.16
Indonesia,37.44
Iran,41.34
Iraq,32.72
Ireland,83.11
Israel,86.63
Italy,73.11
Ivory Coast,54.61
Jamaica,53.16
Japan,87.77
Jordan,52.17
Kazakhstan,29.76
Kenya,36.3
Kosovo (Disputed Territory),29.4
Kuwait,49.4
Kyrgyzstan,22.98
Latvia,52.87
Lebanon,75.88
Libya,22.32
Lithuania,47.66
Luxembourg,88.28
Macao,69.6
Malaysia,39.51
Malta,73.61
Mauritius,52.57
Mexico,35.05
Moldova,32.68
Mongolia,33.17
Montenegro,41.43
Morocco,36.85
Mozambique,35.89
Myanmar,38.06
Namibia,41.02
Nepal,28.86
Netherlands,78.64
New Zealand,79.14
Nicaragua,42.77
Nigeria,29.74
North Macedonia,34.15
Norway,106.09
Oman,50.18
Pakistan,21.59
Palestine,55.88
Panama,54.07
Paraguay,30.72
Peru,36.26
Philippines,40.65
Poland,42.04
Portugal,52.88
Puerto Rico,69.51
Qatar,64.23
Romania,38.5
Russia,33.17
Rwanda,34.07
Saudi Arabia,49.95
Serbia,39.19
Seychelles,78.92
Singapore,85.59
Slovakia,49.08
Slovenia,59.38
Somalia,37.42
South Africa,41.69
South Korea,81.2
Spain,59.09
Sri Lanka,31.28
Suriname,51.86
Sweden,79.17
Switzerland,131.75
Syria,29.03
Taiwan,65.25
Tanzania,34.6
Thailand,49.32
Trinidad And Tobago,55.48
Tunisia,29.5
Turkey,31.48
Uganda,32.18
Ukraine,29.21
United Arab Emirates,61.67
United Kingdom,71.03
United States,71.92
Uruguay,51.09
Uzbekistan,27.12
Vietnam,38.05
Yemen,51.46
Zambia,28.06
Zimbabwe,51.52
