Country name,Regional indicator,Happiness Value,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Happiness/GDP,Happiness/Life Expetancy,Happiness/Social Support,Happiness/Freedom,Happiness/Generosity,Happiness/Corruption,Happiness/Dystopia
Afghanistan,South Asia,2.566900015,7.462860584,0.4703669548,52.59000015,0.3965730071,-0.09642940015,0.9336865544,1.972316742,0.3007058501,0.3564338386,0.2660515308,0,0.1352347136,0.001225785352,1.507235646,0.3439565815,0.04880965977,5.457228635,6.472704821,-26.61947509,2.749209574,
Albania,Central and Eastern Europe,4.882699966,9.417930603,0.6710704565,68.70813751,0.7819942236,-0.0423094891,0.8963037133,1.972316742,0.9066530466,0.8304839134,0.8463296294,0.4619458914,0.1710277647,0.02536128461,1.640897036,0.5184472229,0.07106436214,7.275987073,6.243907972,-115.4043707,5.447595379,
Algeria,Middle East and North Africa,5.005099773,9.537964821,0.8033851385,65.90517426,0.4666109085,-0.1211051643,0.7354851365,1.972316742,0.9438560009,1.143003583,0.7454185486,0.08394379914,0.118915014,0.1291906536,1.840811729,0.5247555288,0.07594395781,6.230012896,10.72649542,-41.32854121,6.805167807,
Argentina,Latin America and Caribbean,5.974699974,9.810955048,0.9005679488,68.80380249,0.831132412,-0.1949138641,0.8420098424,1.972316742,1.028465629,1.372543693,0.849773705,0.5208403468,0.07010047138,0.06041505933,2.072540998,0.6089825043,0.08683677003,6.63436888,7.188625889,-30.65302717,7.095760255,
Armenia,Commonwealth of Independent States,4.676799774,9.100476265,0.7574794292,66.75065613,0.7120178342,-0.1387796104,0.7735447884,1.972316742,0.8082624078,1.034576893,0.7758572698,0.3780758083,0.1072257385,0.1046181843,1.468161583,0.5139071449,0.07006372739,6.174160767,6.568374484,-33.69947329,6.045932756,
Australia,North America and ANZ,7.222799778,10.72059631,0.9448546171,73.60453796,0.9154317379,0.1904601604,0.4151691198,1.972316742,1.310396433,1.477146268,1.022607684,0.6218771935,0.324973613,0.3359964192,2.129804134,0.6737311589,0.09812981615,7.644350408,7.890047372,37.92289035,17.39724713,
Austria,Western Europe,7.294199944,10.7428236,0.9280458689,73.00250244,0.8999894857,0.08542922139,0.4999548793,1.972316742,1.317285538,1.437444925,1.000933528,0.6033688784,0.255509764,0.2812561393,2.398446083,0.6789834977,0.09991712201,7.859740761,8.104761288,85.38296176,14.58971648,
Azerbaijan,Commonwealth of Independent States,5.164800167,9.687726974,0.8193082809,65.50839996,0.7868241072,-0.2402552813,0.5525375605,1.972316742,0.9902727008,1.180613041,0.731134057,0.4677347243,0.0401132144,0.2473071814,1.507632971,0.5331281714,0.07884179998,6.303854467,6.564110225,-21.49713479,9.347419138,
Bahrain,Middle East and North Africa,6.227300167,10.67638016,0.8763421178,68.5,0.9058557749,0.1337291896,0.7393471003,1.972316742,1.296692252,1.31532371,0.8388363719,0.6103999019,0.287453711,0.1266972572,1.751917362,0.5832782343,0.09090949149,7.106014924,6.874494086,46.56649894,8.42270182,
Bangladesh,South Asia,4.832799911,8.287063599,0.6872929931,64.50306702,0.9006249905,-0.03366472572,0.6618435383,1.972316742,0.5561562777,0.8688005805,0.6949405074,0.6041305661,0.1767451167,0.1767359078,1.755261898,0.5831739861,0.07492356775,7.031644379,5.366051312,-143.5567885,7.302027793,
Belarus,Commonwealth of Independent States,5.539899826,9.779945374,0.9067474604,66.10433197,0.6391630769,-0.1649265438,0.6357116699,1.972316742,1.018854499,1.38713932,0.7525885701,0.290755868,0.08993306011,0.1936074346,1.8069911,0.5664550889,0.08380539763,6.109639197,8.667427807,-33.5901044,8.714485022,
Belgium,Western Europe,6.863500118,10.6736393,0.9116325378,72.00164795,0.8135820627,-0.07869119942,0.6122979522,1.972316742,1.295842767,1.398677588,0.9649011493,0.4998054206,0.1469661593,0.2087240517,2.348626614,0.6430327957,0.09532420873,7.528801171,8.436149754,-87.22068247,11.20941217,
